artist_name,track_name
Kid Ink,Main Chick
The Weeknd,Reminder
Russ,Pull The Trigger
Chance The Rapper,No Problem (feat. Lil Wayne & 2 Chainz)
Snakehips,All My Friends
Lil Uzi Vert,You Was Right
Nelly,The Fix (feat. Jeremih)
Fetty Wap,Jimmy Choo
Travis Scott,through the late night
Kendrick Lamar,XXX. FEAT. U2.
Future,Low Life
YG,Who Do You Love?
Migos,T-Shirt
Drake,Fake Love
Fetty Wap,Wake Up
Post Malone,Candy Paint
Russ,What They Want
Marshmello,Silence
Young Thug,pick up the phone
Logic,1-800-273-8255
ScHoolboy Q,THat Part
French Montana,Lockjaw
Chance The Rapper,Juke Jam (feat. Justin Bieber & Towkio)
Chance The Rapper,Mixtape (feat. Young Thug & Lil Yachty)
Drake,Sneakin’
Kanye West,Champions
The Weeknd,Six Feet Under
Rae Sremmurd,Look Alive
Future,Selfish
PARTYNEXTDOOR,Come and See Me (feat. Drake)
Kevin Gates,Hard For
Drake,Pop Style
Drake,10 Bands
Calvin Harris,Rollin
The Chainsmokers,All We Know
DJ Khaled,For Free
Akon,Right Now (Na Na Na)
The Weeknd,Party Monster
Marc E. Bassy,You & Me
OutKast,Hey Ya! - Radio Mix / Club Mix
Logic,Everybody
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.
Donnie Trumpet & The Social Experiment,Sunday Candy
The Black Eyed Peas,Where Is The Love?
Lil Uzi Vert,Money Longer
Dante Klein,Let Me Hold You (Turn Me On)
Kid Ink,Show Me
Kevin Gates,I Don't Get Tired (#IDGT) [feat. August Alsina]
R. Kelly,Bump n' Grind
Vic Mensa,U Mad
David Guetta,2U (feat. Justin Bieber)
Mike WiLL Made-It,"Gucci On My (feat. 21 Savage, YG & Migos)"
Joey Bada$$,DEVASTATED
Kendrick Lamar,ELEMENT.
Future,F*ck Up Some Commas
Kanye West,Black Skinhead
Kanye West,All Falls Down
Nicki Minaj,Truffle Butter
Big Sean,I Know
Kendrick Lamar,DNA.
Post Malone,Money Made Me Do It
Kevin Gates,2 Phones
French Montana,No Shopping
Lil Uzi Vert,Seven Million (feat. Future)
DJ Snake,Middle
Metro Boomin,No Complaints
DJ Khaled,I Got the Keys
James Bay,Let It Go
Fetty Wap,Again
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton
Kendrick Lamar,"Bitch, Don’t Kill My Vibe"
Fetty Wap,Trap Queen
Kevin Gates,Really Really
G-Eazy,Let's Get Lost
Twenty One Pilots,Stressed Out
Drake,Make Me Proud
ZAYN,PILLOWTALK
Bryson Tiller,Exchange
Tory Lanez,LUV
Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix"
Meghan Trainor,NO
J. Cole,No Role Modelz
Melanie Martinez,Pity Party
Drake,Too Good
Miley Cyrus,Wrecking Ball
Grace,You Don't Own Me
Miley Cyrus,We Can't Stop
Drake,Controlla
Bryson Tiller,Don't
G-Eazy,"Me, Myself & I"
Jeremih,Don't Tell 'Em
Birdy,Skinny Love
Kid Ink,Promise
Ty Dolla $ign,Saved (feat. E-40)
Beyoncé,If I Were a Boy
Roy Woods,Drama (feat. Drake)
J. Cole,Work Out
Ruth B.,Lost Boy
Jeremih,oui
Zara Larsson,Never Forget You
Post Malone,White Iverson
Shawn Mendes,I Know What You Did Last Summer
G-Eazy,I Mean It
Bryson Tiller,Sorry Not Sorry
The Weeknd,Earned It (Fifty Shades Of Grey)
Adele,Send My Love (To Your New Lover)
Selena Gomez,Kill Em With Kindness
J. Cole,Crooked Smile
Major Lazer,Cold Water (feat. Justin Bieber & MØ)
Kid Cudi,Pursuit Of Happiness (nightmare)
Charlie Puth,One Call Away
Troye Sivan,YOUTH
Flume,Never Be Like You
R. Kelly,Ignition - Remix
Kesha,Your Love Is My Drug
Kid Ink,Be Real
Kelis,Milkshake
Rae Sremmurd,This Could Be Us
Future,Wicked
Dreezy,Body
Jeremih,Planez
Shawn Mendes,Treat You Better
Zara Larsson,Lush Life
B.o.B,Airplanes (feat. Hayley Williams of Paramore) - Explicit Album Version
Kid Cudi,Day 'N' Nite (nightmare)
Drake,Preach
Wale,MY PYT
Kendrick Lamar,Swimming Pools (Drank)
Pia Mia,Do It Again
Post Malone,Go Flex
Tory Lanez,Say It
Rich Homie Quan,Type of Way
Ariana Grande,The Way
Jake Owen,American Country Love Song
Sam Hunt,Leave The Night On
Billy Currington,It Don't Hurt Like It Used To
Chris Lane,Fix
Rascal Flatts,I Like The Sound Of That
Brett Eldredge,Lose My Mind
Keith Urban,"John Cougar, John Deere, John 3:16"
Chris Stapleton,Tennessee Whiskey
Little Big Town,Girl Crush
Dierks Bentley,Black
Dierks Bentley,I Hold On
Eric Church,Record Year
Keith Urban,The Fighter
Eric Church,Kill A Word
Josh Turner,Hometown Girl
Dan + Shay,From the Ground Up
Florida Georgia Line,H.O.L.Y.
Little Big Town,Better Man
Lee Brice,That don't sound like You
David Nail,Night's On Fire
Jon Pardi,Up All Night
Granger Smith,Backroad Song
Dierks Bentley,Say You Do
Eric Church,Drink In My Hand
Kenny Chesney,Save It for a Rainy Day
Thomas Rhett,Vacation
Brett Young,Sleep Without You
Brantley Gilbert,One Hell Of An Amen
Kenny Chesney,American Kids
Frankie Ballard,It All Started with a Beer
Sam Hunt,Ex To See
Kelsea Ballerini,Dibs
Jason Aldean,When She Says Baby
Jason Aldean,Lights Come On
Jason Aldean,Burnin' It Down
Frankie Ballard,Young & Crazy
Cole Swindell,You Should Be Here
Thomas Rhett,Crash And Burn
Canaan Smith,Love You Like That
Luke Bryan,Kick The Dust Up
LOCASH,I Know Somebody
Dierks Bentley,Different For Girls
Carrie Underwood,Church Bells
Old Dominion,Break Up with Him
Jason Aldean,Don't You Wanna Stay
Sam Hunt,Break Up In A Small Town
LOCASH,I Love This Life
Old Dominion,Snapback
Brothers Osborne,Stay A Little Longer
Lee Brice,I Don't Dance
Tim McGraw,Humble And Kind
Jon Pardi,Head Over Boots
Billy Currington,Hey Girl
Jason Aldean,Gonna Know We Were Here
Eric Church,Talladega
Old Dominion,Song for Another Time
Luke Bryan,Home Alone Tonight
Billy Currington,Do I Make You Wanna
Kelsea Ballerini,Peter Pan
Jason Aldean,Take A Little Ride
Lee Brice,I Drive Your Truck
A Thousand Horses,Smoke
Florida Georgia Line,Confession
Michael Ray,Kiss You In The Morning
Luke Bryan,Move
Dustin Lynch,Mind Reader
Chase Rice,Gonna Wanna Tonight
Blake Shelton,Came Here to Forget
Luke Combs,Hurricane
Chris Young,Think of You
Brad Paisley,Perfect Storm
Eric Paslay,Friday Night
Keith Urban,Blue Ain't Your Color
Brett Eldredge,Drunk On Your Love
Cole Swindell,Middle of a Memory
Blake Shelton,She's Got a Way With Words
Cole Swindell,Let Me See Ya Girl
Dan + Shay,Nothin' Like You
Eric Church,Springsteen
Dierks Bentley,Somewhere On A Beach
Brad Paisley,Mud on the Tires
Scotty McCreery,Feelin’ It
Kenny Chesney,Setting the World On Fire
Blake Shelton,A Guy With a Girl
Luke Bryan,"Huntin', Fishin' And Lovin' Every Day"
Brett Eldredge,Mean To Me
Chase Bryant,Little Bit of You
Jason Aldean,The Only Way I Know (with Luke Bryan and Eric Church)
Jason Aldean,Night Train
Florida Georgia Line,Anything Goes
Billy Currington,Good Directions
"Tyler, The Creator",911 / Mr. Lonely
Alabama,Song of the South
George Strait,Check Yes Or No
Easton Corbin,Baby Be My Love Song
Kelsea Ballerini,Yeah Boy
George Strait,Troubadour
Russell Dickerson,Yours
Jason Aldean,Any Ol' Barstool
Brooks & Dunn,Red Dirt Road
Trent Harmon,There’s A Girl
Def Leppard,Rock Of Ages (2012)
Chris Stapleton,Parachute
Josh Turner,Why Don't We Just Dance
Chris Lane,For Her
Dustin Lynch,Small Town Boy
Luke Combs,When It Rains It Pours
Kenny Chesney,Noise
Kenny Chesney,Somewhere With You
Josh Turner,Lay Low
Old Dominion,No Such Thing as a Broken Heart
Cole Swindell,Ain't Worth The Whiskey
Tim McGraw,Something Like That
Cole Swindell,Flatliner (feat. Dierks Bentley)
George Strait,I Got A Car
Brothers Osborne,21 Summer
Dan + Shay,How Not To
Rodney Atkins,Farmer's Daughter
Josh Turner,Would You Go With Me
Keith Urban,Wasted Time
Justin Moore,Lettin' The Night Roll
ScHoolboy Q,Collard Greens
Young M.A,OOOUUU
Playboi Carti,wokeuplikethis*
Drake,Still Here
Rae Sremmurd,Throw Sum Mo
Zay Hilfigerrr,Juju On That Beat (TZ Anthem)
Yellow Claw,In My Room (feat. Ty Dolla $ign & Tyga)
Logic,Black SpiderMan
Young Thug,Wyclef Jean
M City JR,Addicted To My Ex
DJ Snake,Let Me Love You
Rihanna,Sex With Me
T.I.,About the Money
Ludacris,How Low
Kanye West,Fade
Lil Yachty,Peek A Boo
Bankroll Fresh,Walked In
Post Malone,Deja Vu
Usher,I Don't Mind
Tee Grizzley,From The D To The A (feat. Lil Yachty)
T-Pain,Up Down (Do This All Day)
Migos,Slippery (feat. Gucci Mane)
21 Savage,No Heart
Ca$h Out,She Twerkin
Carnage,I Like Tuh
The Weeknd,I Feel It Coming
Rae Sremmurd,By Chance
DJ Mustard,Want Her
Yo Gotti,Down In the DM
Rae Sremmurd,Swang
DJ Esco,Too Much Sauce
Ty Dolla $ign,Blasé (feat. Future & Rae Sremmurd)
Juvenile,Back That Azz Up
Eagles,Lyin' Eyes
6LACK,PRBLMS
Drake,Big Rings
Lil Uzi Vert,Top
PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)"
Wale,Running Back (feat. Lil Wayne)
Justin Bieber,Confident
Lil Yachty,One Night
Lil Uzi Vert,Erase Your Social
Kodak Black,Patty Cake
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)"
Ty Dolla $ign,Wavy (feat. Joe Moses)
Meek Mill,R.I.C.O. (feat. Drake)
Drake,HYFR (Hell Ya Fucking Right)
Nebu Kiniza,Gassed Up
Carnage,Bricks
Fetty Wap,RGF Island
ScHoolboy Q,THat Part - Black Hippy Remix
Drake,Childs Play
21 Savage,X (feat. Future)
NAV,Some Way
MadeinTYO,I Want (feat. 2 Chainz)
Young Thug,Hercules
Jeremih,Down On Me
2 Chainz,Good Drank
YG,Why You Always Hatin?
Kodak Black,Tunnel Vision
PARTYNEXTDOOR,Recognize (feat. Drake)
Jidenna,Classic Man
Drake,Diamonds Dancing
Peter Frampton,"Baby, I Love Your Way - Live"
A Boogie Wit da Hoodie,My Shit
Bubba Sparxxx,Ms. New Booty - feat. Ying Yang Twins and Mr. ColliPark
JAY Z,Tom Ford
K CAMP,Comfortable
A$AP Mob,Yamborghini High
21 Savage,Red Opps
Lil Dicky,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)
Migos,Kelly Price (feat. Travis Scott)
DJ Snake,You Know You Like It
J. Cole,Foldin Clothes
The Notorious B.I.G.,Hypnotize - 2014 Remastered Version
Calvin Harris,Feel So Close - Radio Edit
Drake,Portland
Jason Aldean,Hicktown
OneRepublic,Wherever I Go
Portugal. The Man,Feel It Still
Eminem,Without Me
Fifth Harmony,All In My Head (Flex)
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar)
OMI,Cheerleader - Felix Jaehn Remix Radio Edit
Disclosure,You & Me - Flume Remix
Chance The Rapper,Angels (feat. Saba)
Rudimental,Lay It All On Me (feat. Ed Sheeran)
Jess Glynne,Hold My Hand
Tyga,Faded
Future,Stick Talk
Robin Schulz,Sugar (feat. Francesco Yates)
Mike Perry,The Ocean
Lil Uzi Vert,Do What I Want
Cherub,Doses & Mimosas
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti) - Featuring Ja-Rule & Ashanti Explicit Album Version
The Weeknd,Starboy
Snoop Dogg,Gin And Juice (feat. Dat Nigga Daz)
Kesha,Die Young
YG,My Nigga
Salva,Old English
Action Bronson,Baby Blue (feat. Chance the Rapper)
Twenty One Pilots,Ride
A$AP Ferg,Shabba
Eminem,Shake That
Eminem,The Real Slim Shady
M.I.A.,Paper Planes
Kendrick Lamar,King Kunta
Kanye West,Famous
Sage The Gemini,Red Nose
50 Cent,21 Questions
Cassie,Me & U
Sage The Gemini,Now and Later
French Montana,Unforgettable
Sia,Cheap Thrills
Calvin Harris,Blame
Flume,Say It
Chance The Rapper,Smoke Break (feat. Future)
DJ Khaled,Wild Thoughts
OutKast,Roses
Belinda Carlisle,Heaven Is A Place On Earth
J-Kwon,Tipsy - Club Mix
Panic! At The Disco,Hallelujah
Van Halen,Jump - 2015 Remastered Version
Journey,Don't Stop Believin'
Bon Jovi,Wanted Dead Or Alive
D12,My Band
Panic! At The Disco,I Write Sins Not Tragedies
Linkin Park,Numb
Guns N' Roses,Paradise City
Lupe Fiasco,Battle Scars
Sia,Chandelier
Disclosure,Latch
Jason Mraz,I'm Yours
Adele,Set Fire to the Rain
Omarion,Ice Box
The Black Eyed Peas,I Gotta Feeling
Eminem,Lose Yourself - Soundtrack Version
Gym Class Heroes,Stereo Hearts (feat. Adam Levine) - feat. Adam Levine
Deniece Williams,Let's Hear It for the Boy
Eminem,Mockingbird
R. City,Locked Away
Destiny's Child,Say My Name
Kanye West,Heartless
Hozier,Take Me To Church
Nelly,Dilemma
Echosmith,Cool Kids
SoMo,Ride
Kansas,Carry on Wayward Son
Ray J,Sexy Can I feat. Yung Berg
Nelly,Country Grammar (Hot Shit)
Panic! At The Disco,The Ballad Of Mona Lisa
Carrie Underwood,Something in the Water
Survivor,Eye of the Tiger
Fall Out Boy,Centuries
Ariana Grande,Love Me Harder
Blackstreet,No Diggity
Panic! At The Disco,This Is Gospel
Jason Derulo,Trumpets
Blue Öyster Cult,(Don't Fear) The Reaper
The Script,Breakeven
Boys Like Girls,The Great Escape
The Black Eyed Peas,Boom Boom Pow
The Mowgli's,San Francisco
Backstreet Boys,I Want It That Way
Youngbloodz,Snap Yo Fingers
Jason Mraz,I Won't Give Up
Adele,Rolling in the Deep
Live,Lightning Crashes
Nickelback,How You Remind Me - LP Mix
Eminem,The Monster
Kendrick Lamar,Swimming Pools (Drank) - Extended Version
Nelly,Hot In Herre
Kelly Rowland,Motivation
Nick Jonas,Chains
Mario,Let Me Love You
Eminem,Rap God
Led Zeppelin,Stairway To Heaven
Destiny's Child,Survivor
Train,"Hey, Soul Sister"
Kendrick Lamar,Poetic Justice
Nicki Minaj,Moment 4 Life
TLC,No Scrubs
Maroon 5,Animals
Lady Antebellum,Bartender
Adele,Someone Like You
Bad Meets Evil,Lighters
Lil Wayne,Drop The World
112,Peaches & Cream (feat. P. Diddy)
Bon Jovi,Livin' On A Prayer
Nickelback,If Today Was Your Last Day
Natasha Bedingfield,Unwritten
Ozzy Osbourne,Crazy Train - Remastered
J. Cole,Power Trip
Tommy Tutone,867-5309 / Jenny
Billy Joel,Piano Man
Def Leppard,Pour Some Sugar On Me (2012)
The Beatles,Twist And Shout - Remastered 2009
Tears For Fears,Everybody Wants To Rule The World
Journey,Separate Ways (Worlds Apart)
AC/DC,T.N.T.
Jimi Hendrix,Purple Haze
AC/DC,Thunderstruck
Tom Petty,Runnin' Down A Dream
Whitesnake,Here I Go Again
John Mellencamp,Jack & Diane
Boston,Peace of Mind
Creedence Clearwater Revival,Up Around The Bend
Pink Floyd,Money
Fleetwood Mac,Go Your Own Way - 2004 Remastered Edition
Eric Clapton,Cocaine
The Who,Who Are You
Beyoncé,Sweet Dreams
Thin Lizzy,The Boys Are Back In Town
